Long-term drift test started. Press Ctrl+C to stop.
TSC available: true

     sec       static(ns)       online(ns)   st_std(ns)   on_std(ns)     st_drift       st_ppm     on_drift       on_ppm
     327     327049765932     327049801340 327049799179 327049799500       -33247    -0.101657         1840     0.005626
     328     328049921331     328049896158 328049954589 328049954709       -33258    -0.101381       -58551    -0.178482
     329     329050030314     329050033648 329050063765 329050063916       -33451    -0.101659       -30268    -0.091986
     330     330050145308     330050198081 330050178871 330050185263       -33563    -0.101691        12818     0.038837
     331     331050258899     331050299228 331050292564 331050292705       -33665    -0.101691         6523     0.019704
     332     332050397066     332050421881 332050430823 332050430954       -33757    -0.101662        -9073    -0.027324
     333     333050493645     333050541966 333050527505 333050527886       -33860    -0.101666        14080     0.042276
     334     334050637814     334050646594 334050671776 334050672076       -33962    -0.101667       -25482    -0.076282
     335     335050742839     335050780079 335050776903 335050777184       -34064    -0.101668         2895     0.008640
     336     336050833477     336050863393 336050867643 336050868184       -34166    -0.101669        -4791    -0.014257
     337     337050946808     337051017118 337050981086 337050981527       -34278    -0.101700        35591     0.105595
     338     338051064838     338051067682 338051099218 338051099378       -34380    -0.101701       -31696    -0.093761
     339     339051168941     339051207434 339051203423 339051203974       -34482    -0.101701         3460     0.010205
     340     340051286951     340051302206 340051321534 340051321655       -34583    -0.101699       -19449    -0.057194
     341     341051388720     341051421289 341051423405 341051423676       -34685    -0.101700        -2387    -0.006999
     342     342051488245     342051588495 342051523022 342051523844       -34777    -0.101672        64651     0.189010
     343     343051620811     343051752584 343051655701 343051656502       -34890    -0.101705        96082     0.280080
     344     344051748950     344051769604 344051783931 344051784462       -34981    -0.101674       -14858    -0.043185
     345     345051862681     345051824911 345051897764 345051897934       -35083    -0.101675       -73023    -0.211629
     346     346051959071     346051952674 346051994265 346051994405       -35194    -0.101701       -41731    -0.120592
     347     347052049479     347052061135 347052084776 347052085116       -35297    -0.101705       -23981    -0.069099
     348     348052189158     348052594094 348052224547 348052225760       -35389    -0.101677       368334     1.058272
     349     349052371618     349052276199 349052407118 349052407388       -35500    -0.101704      -131189    -0.375843
     350     350052497051     350052424083 350052532654 350052532794       -35603    -0.101708      -108711    -0.310556
     351     351052603750     351052569269 351052639444 351052639594       -35694    -0.101677       -70325    -0.200326
     352     352052713744     352052703783 352052749538 352052749668       -35794    -0.101672       -45885    -0.130336
     353     353052815594     353052823946 353052851491 353052851621       -35897    -0.101676       -27675    -0.078388
     354     354053292242     354053340620 354053328239 354053328469       -35997    -0.101671        12151     0.034320
     355     355053435438     355053449826 355053471439 355053471569       -36001    -0.101396       -21743    -0.061239
     356     356053824413     356053856119 356053860616 356053860746       -36203    -0.101678        -4627    -0.012995
     357     357054452743     357054477547 357054489046 357054489207       -36303    -0.101674       -11660    -0.032656
     358     358054953446     358054982895 358054989861 358054989991       -36415    -0.101702        -7096    -0.019818
     359     359055044135     359055081160 359055080655 359055080805       -36520    -0.101711          355     0.000989
     360     360055127770     360055164645 360055164381 360055164532       -36611    -0.101682          113     0.000314
     361     361055217257     361055254211 361055253971 361055254121       -36714    -0.101685           90     0.000249
     362     362055462233     362055560528 362055499056 362055499447       -36823    -0.101705        61081     0.168706
     363     363055599428     363055649123 363055636351 363055636621       -36923    -0.101701        12502     0.034435
     364     364055747634     364055750695 364055784657 364055784867       -37023    -0.101696       -34172    -0.093865
     365     365056221757     365056286819 365056258869 365056259160       -37112    -0.101661        27659     0.075766
     366     366056355837     366056360988 366056393061 366056393191       -37224    -0.101689       -32203    -0.087973
     367     367056664171     367056722830 367056701499 367056701719       -37328    -0.101695        21111     0.057514
     368     368057180773     368057229630 368057218202 368057218432       -37429    -0.101693        11198     0.030425
     369     369057640810     369057672694 369057678344 369057678604       -37534    -0.101702        -5910    -0.016014
     370     370058039673     370058105042 370058077290 370058077751       -37617    -0.101652        27291     0.073748
     371     371058505692     371058501392 371058543429 371058543549       -37737    -0.101701       -42157    -0.113613
     372     372058990044     372059038628 372059027869 372059028100       -37825    -0.101664        10528     0.028297
     373     373059500535     373059545069 373059538462 373059538683       -37927    -0.101665         6386     0.017118
     374     374060042836     374060085200 374060080877 374060081098       -38041    -0.101698         4102     0.010966
     375     375060211039     375060250726 375060249163 375060249464       -38124    -0.101648         1262     0.003365
     376     376060682397     376060722687 376060720641 376060720871       -38244    -0.101696         1816     0.004829
     377     377060814493     377060816817 377060852827 377060852957       -38334    -0.101665       -36140    -0.095847
     378     378061296020     378061348616 378061334458 378061334688       -38438    -0.101671        13928     0.036841
     379     379061704531     379061717298 379061743071 379061743211       -38540    -0.101672       -25913    -0.068361
     380     380061944297     380062021842 380061982952 380061983183       -38655    -0.101707        38659     0.101718
     381     381062365422     381062376061 381062404165 381062404305       -38743    -0.101671       -28244    -0.074119
     382     382062501645     382062571796 382062540430 382062540860       -38785    -0.101515        30936     0.080971
     383     383062642748     383062687221 383062681704 383062681974       -38956    -0.101696         5247     0.013697
     384     384062761659     384062766006 384062800716 384062800847       -39057    -0.101694       -34841    -0.090717
     385     385063294412     385063312722 385063333562 385063333693       -39150    -0.101672       -20971    -0.054461
     386     386063377225     386063417558 386063416477 386063416678       -39252    -0.101672          880     0.002279
     387     387063483132     387063512598 387063522506 387063522637       -39374    -0.101725       -10039    -0.025936
     388     388063586765     388063630842 388063626221 388063626351       -39456    -0.101674         4491     0.011573
     389     389063690578     389063723516 389063730144 389063730274       -39566    -0.101695        -6758    -0.017370
     390     390063796204     390063872055 390063835863 390063836093       -39659    -0.101673        35962     0.092195
     391     391063916618     391063933676 391063956359 391063956489       -39741    -0.101623       -22813    -0.058336
     392     392064018438     392064060076 392064058309 392064058660       -39871    -0.101695         1416     0.003612
     393     393064819200     393064864553 393064859172 393064859322       -39972    -0.101693         5231     0.013308
     394     394064935606     394064997598 394064975669 394064975940       -40063    -0.101666        21658     0.054960
     395     395065068433     395065109491 395065108607 395065108948       -40174    -0.101690          543     0.001374
     396     396065363383     396065399392 396065403658 396065403808       -40275    -0.101688        -4416    -0.011150
     397     397065768207     397065784421 397065808575 397065808776       -40368    -0.101666       -24355    -0.061337
     398     398065856782     398065885524 398065897261 398065897401       -40479    -0.101689       -11877    -0.029837
     399     399065941228     399065986070 399065981801 399065982001       -40573    -0.101670         4069     0.010196
     400     400066030564     400066070713 400066071239 400066071440       -40675    -0.101671         -727    -0.001817
     401     401066119069     401066165635 401066159844 401066160005       -40775    -0.101667         5630     0.014038
     402     402066232510     402066300882 402066273397 402066273667       -40887    -0.101692        27215     0.067688
     403     403066345901     403066362107 403066386879 403066387009       -40978    -0.101666       -24902    -0.061781
     404     404066456456     404066482440 404066497545 404066497676       -41089    -0.101689       -15236    -0.037707
     405     405066608379     405066686826 405066649570 405066649881       -41191    -0.101689        36945     0.091207
     406     406066717732     406066804310 406066759015 406066759526       -41283    -0.101666        44784     0.110287
     407     407066846161     407066850620 407066887525 407066887665       -41364    -0.101615       -37045    -0.091005
     408     408066949664     408066963564 408066991147 408066991287       -41483    -0.101657       -27723    -0.067937
     409     409067055070     409067081532 409067096654 409067096785       -41584    -0.101656       -15253    -0.037287
     410     410067157079     410067215368 410067198766 410067198896       -41687    -0.101659        16472     0.040169
     411     411067260281     411067310474 411067302069 411067302209       -41788    -0.101657         8265     0.020106
     412     412067366138     412067398639 412067408027 412067408198       -41889    -0.101656        -9559    -0.023198
     413     413067468428     413067493393 413067510420 413067510561       -41992    -0.101659       -17168    -0.041562
     414     414068001351     414068083870 414068043455 414068043755       -42104    -0.101684        40115     0.096880
     415     415068129469     415068145195 415068171663 415068171793       -42194    -0.101656       -26598    -0.064081
     416     416068236669     416068266326 416068278965 416068279115       -42296    -0.101656       -12789    -0.030738
     417     417068336965     417068368398 417068379363 417068379503       -42398    -0.101657       -11105    -0.026626
     418     418068437913     418068532943 418068480412 418068480582       -42499    -0.101656        52361     0.125245
     419     419068541465     419068556612 419068584065 419068584206       -42600    -0.101654       -27594    -0.065846
     420     420068651350     420068768697 420068694051 420068694502       -42701    -0.101652        74195     0.176626
     421     421068785149     421068793425 421068827952 421068828102       -42803    -0.101653       -34677    -0.082355
     422     422069045764     422069116193 422069088668 422069089079       -42904    -0.101652        27114     0.064241
     423     423069171518     423069214484 423069214524 423069214675       -43006    -0.101652         -191    -0.000451
     424     424069282234     424069285358 424069325343 424069325493       -43109    -0.101656       -40135    -0.094643
     425     425069450968     425069502001 425069494179 425069494460       -43211    -0.101656         7541     0.017741
     426     426069578114     426069611045 426069621427 426069621628       -43313    -0.101657       -10583    -0.024839
     427     427069679633     427069696674 427069723048 427069723189       -43415    -0.101658       -26515    -0.062086
     428     428069767246     428069799612 428069810762 428069811042       -43516    -0.101656       -11430    -0.026701
     429     429069857994     429069894878 429069901622 429069901752       -43628    -0.101680        -6874    -0.016021
     430     430070052526     430070092271 430070096246 430070096397       -43720    -0.101658        -4126    -0.009594
     431     431070135941     431070172176 431070179763 431070179903       -43822    -0.101659        -7727    -0.017925
     432     432070276453     432070361311 432070320384 432070320514       -43931    -0.101676        40797     0.094422
     433     433070359357     433070382128 433070403388 433070403519       -44031    -0.101672       -21391    -0.049394
     434     434070467588     434070500215 434070511720 434070511851       -44132    -0.101670       -11636    -0.026807
     435     435070918388     435070955542 435070962621 435070962752       -44233    -0.101668        -7210    -0.016572
     436     436071002404     436071046058 436071046740 436071046880       -44336    -0.101672         -822    -0.001885
     437     437071124982     437071163683 437071169408 437071169669       -44426    -0.101645        -5986    -0.013696
     438     438071230598     438071276797 438071275136 438071275277       -44538    -0.101668         1520     0.003470
     439     439071318341     439071358892 439071362981 439071363161       -44640    -0.101669        -4269    -0.009723
     440     440071941152     440071988568 440071985892 440071986033       -44740    -0.101665         2535     0.005760
     441     441072037812     441072110151 441072082653 441072082923       -44841    -0.101664        27228     0.061731
     442     442072315649     442072368594 442072360591 442072360731       -44942    -0.101662         7863     0.017787
     443     443072419081     443072430631 443072464125 443072464256       -45044    -0.101663       -33625    -0.075891
     444     444072517815     444072561832 444072562950 444072563101       -45135    -0.101639        -1269    -0.002858
     445     445072622349     445072698447 445072667597 445072667737       -45248    -0.101664        30710     0.069000
     446     446072720241     446072819907 446072765590 446072766021       -45349    -0.101663        53886     0.120801
     447     447072877895     447072917541 447072923335 447072923706       -45440    -0.101639        -6165    -0.013790
     448     448073002506     448073017926 448073048059 448073048199       -45553    -0.101664       -30273    -0.067563
     449     449073126567     449073179019 449073172212 449073172443       -45645    -0.101643         6576     0.014643
     450     450073234728     450073258076 450073280476 450073280616       -45748    -0.101646       -22540    -0.050081
     451     451073320618     451073349269 451073366466 451073366597       -45848    -0.101642       -17328    -0.038415
     452     452073411747     452073447060 452073457707 452073457847       -45960    -0.101665       -10787    -0.023861
     453     453073537501     453073576909 453073583462 453073583582       -45961    -0.101443        -6673    -0.014728
     454     454074016253     454074101884 454074062417 454074062648       -46164    -0.101666        39236     0.086409
     455     455074149591     455074189043 455074195846 455074195996       -46255    -0.101643        -6953    -0.015279
     456     456074238587     456074277573 456074284942 456074285423       -46355    -0.101639        -7850    -0.017212
     457     457074330046     457074368404 457074376514 457074376785       -46468    -0.101664        -8381    -0.018336
     458     458074890501     458074932109 458074937071 458074937261       -46570    -0.101665        -5152    -0.011247
     459     459074981089     459075019173 459075027760 459075027891       -46671    -0.101663        -8718    -0.018990
     460     460075073982     460075197634 460075120746 460075121146       -46764    -0.101644        76488     0.166251
     461     461075216176     461075244203 461075263052 461075263162       -46876    -0.101667       -18959    -0.041119
     462     462075320641     462075421813 462075367618 462075367788       -46977    -0.101665        54025     0.116918
     463     463075451113     463075541011 463075498182 463075498984       -47069    -0.101644        42027     0.090756
     464     464075621540     464075718862 464075668721 464075669603       -47181    -0.101667        49259     0.106144
     465     465075787559     465075893045 465075834843 465075835474       -47284    -0.101669        57571     0.123788
     466     466075926257     466075975586 466075973643 466075973793       -47386    -0.101670         1793     0.003847
     467     467076041442     467075987294 467076088920 467076089050       -47478    -0.101649      -101756    -0.217857
     468     468076638594     468076617370 468076686176 468076686306       -47582    -0.101654       -68936    -0.147275
     469     469076746355     469076798808 469076794039 469076794449       -47684    -0.101655         4359     0.009293
     470     470076872179     470076887778 470076919975 470076920276       -47796    -0.101677       -32498    -0.069133
     471     471077021246     471077109749 471077069136 471077069697       -47890    -0.101661        40052     0.085022
     472     472077339599     472077341670 472077387603 472077387733       -48004    -0.101687       -46063    -0.097575
     473     473077437140     473077489474 473077485247 473077485718       -48107    -0.101689         3756     0.007940
     474     474077552485     474077642277 474077600682 474077600962       -48197    -0.101665        41315     0.087148
     475     475077682136     475077693922 475077730435 475077730585       -48299    -0.101665       -36663    -0.077173
     476     476077774748     476077831397 476077823149 476077823500       -48401    -0.101666         7897     0.016588
     477     477077907495     477078185481 477077955999 477077956740       -48504    -0.101669       228741     0.479463
     478     478078025454     478077972327 478078074050 478078074521       -48596    -0.101649      -102194    -0.213760
     479     479078145187     479078116838 479078193885 479078194205       -48698    -0.101649       -77367    -0.161491
     480     480078266343     480078306527 480078315163 480078315433       -48820    -0.101692        -8906    -0.018551
     481     481078368923     481078374596 481078417845 481078418026       -48922    -0.101692       -43430    -0.090276
     482     482078670164     482078698534 482078719178 482078719328       -49014    -0.101672       -20794    -0.043134
     483     483078784417     483078924225 483078833342 483078834033       -48925    -0.101277        90192     0.186702
     484     484078894662     484078901676 484078943880 484078944020       -49218    -0.101673       -42344    -0.087473
     485     485078980822     485078989787 485079030153 485079030563       -49331    -0.101697       -40776    -0.084061
     486     486079074877     486079114974 486079124309 486079124450       -49432    -0.101695        -9476    -0.019495
     487     487079181254     487079211616 487079230779 487079230919       -49525    -0.101678       -19303    -0.039630
     488     488079322768     488079355195 488079372395 488079372525       -49627    -0.101678       -17330    -0.035507
     489     489079426661     489079472207 489079476390 489079476942       -49729    -0.101679        -4735    -0.009681
     490     490079517800     490079570915 490079567622 490079567772       -49822    -0.101661         3143     0.006413
     491     491079611354     491079725686 491079661258 491079661749       -49904    -0.101621        63937     0.130197
     492     492079736347     492079843309 492079786383 492079787064       -50036    -0.101683        56245     0.114301
     493     493079854506     493079881212 493079904655 493079905256       -50149    -0.101706       -24044    -0.048763
     494     494079987534     494080041106 494080037784 494080038335       -50250    -0.101704         2771     0.005608
     495     495080093621     495080102886 495080143973 495080144113       -50352    -0.101705       -41227    -0.083273
     496     496080153763     496080286784 496080204206 496080204347       -50443    -0.101683        82437     0.166177
     497     497080267805     497080491059 497080318362 497080319093       -50557    -0.101708       171966     0.345952
     498     498080410210     498080341607 498080460869 498080460999       -50659    -0.101708      -119392    -0.239704
     499     499080521116     499080491834 499080571867 499080572068       -50751    -0.101689       -80234    -0.160764
     500     500080629808     500080632081 500080680662 500080680813       -50854    -0.101692       -48732    -0.097448
     501     501080795977     501080845990 501080846944 501080847676       -50967    -0.101714        -1686    -0.003365
     502     502080886155     502080928562 502080937235 502080937365       -51080    -0.101737        -8803    -0.017533
     503     503080987303     503081007723 503081038466 503081038596       -51163    -0.101699       -30873    -0.061368
     504     504081079504     504081150198 504081130780 504081131130       -51276    -0.101722        19068     0.037827
     505     505081202914     505081304076 505081254292 505081254502       -51378    -0.101722        49574     0.098151
     506     506081306757     506081316483 506081358236 506081358347       -51479    -0.101721       -41864    -0.082722
     507     507081386565     507081410981 507081438147 507081438287       -51582    -0.101723       -27306    -0.053849
     508     508081475691     508081557414 508081527364 508081528035       -51673    -0.101702        29379     0.057823
     509     509081600864     509081632725 509081652649 509081652870       -51785    -0.101722       -20145    -0.039571
     510     510081704496     510081756403 510081756384 510081756515       -51888    -0.101725         -112    -0.000220
     511     511081795976     511081866583 511081847966 511081848567       -51990    -0.101725        18016     0.035251
     512     512081913755     512081949137 512081965838 512081966139       -52083    -0.101708       -17002    -0.033202
     513     513082005826     513082045756 513082058012 513082058162       -52186    -0.101711       -12406    -0.024179
     514     514082100112     514082199958 514082152408 514082152849       -52296    -0.101727        47109     0.091637
     515     515082225375     515082284480 515082277773 515082278204       -52398    -0.101727         6276     0.012184
     516     516082346470     516082419570 516082398960 516082399381       -52490    -0.101709        20189     0.039120
     517     517082464159     517082480153 517082516761 517082516892       -52602    -0.101728       -36739    -0.071051
     518     518082574875     518082601298 518082627569 518082627730       -52694    -0.101710       -26432    -0.051019
     519     519082690460     519082786869 519082743266 519082743567       -52806    -0.101729        43302     0.083420
     520     520082789464     520082809349 520082842372 520082842522       -52908    -0.101730       -33173    -0.063784
     521     521082890612     521082940055 521082943612 521082943792       -53000    -0.101711        -3737    -0.007172
     522     522082985257     522083053286 522083038380 522083038981       -53123    -0.101752        14305     0.027400
     523     523083117493     523083235794 523083170698 523083171309       -53205    -0.101714        64485     0.123279
     524     524083238198     524083248202 524083291504 524083291665       -53306    -0.101713       -43463    -0.082931
     525     525083332193     525083384377 525083385601 525083386012       -53408    -0.101713        -1635    -0.003114
     526     526083440955     526083512455 526083494476 526083494766       -53521    -0.101735        17689     0.033624
     527     527083557001     527083602884 527083610623 527083610824       -53622    -0.101733        -7940    -0.015064
     528     528083708422     528083947381 528083762137 528083762658       -53715    -0.101717       184723     0.349799
     529     529083867599     529083898512 529083921425 529083921926       -53826    -0.101734       -23414    -0.044254
     530     530083992291     530084003135 530084046219 530084046510       -53928    -0.101735       -43375    -0.081827
     531     531084166535     531084377045 531084220536 531084221307       -54001    -0.101681       155738     0.293245
     532     532084364463     532084465817 532084418586 532084419378       -54123    -0.101719        46439     0.087278
     533     533084532406     533084434491 533084586620 533084587001       -54214    -0.101699      -152510    -0.286090
     534     534084658280     534084655988 534084712617 534084712787       -54337    -0.101739       -56799    -0.106348
     535     535084776720     535084794747 535084831159 535084831390       -54439    -0.101739       -36643    -0.068481
     536     536084867750     536084904415 536084922290 536084922471       -54540    -0.101738       -18056    -0.033681
     537     537084954220     537084947209 537085008843 537085008983       -54623    -0.101703       -61774    -0.115017
     538     538085056801     538085076316 538085111546 538085111686       -54745    -0.101740       -35370    -0.065733
     539     539085156396     539085315358 539085211243 539085211404       -54847    -0.101741       103954     0.192834
     540     540085283352     540085284611 540085338302 540085338472       -54950    -0.101743       -53861    -0.099727
     541     541085387937     541085397578 541085442978 541085443108       -55041    -0.101723       -45530    -0.084146
     542     542085499113     542085586855 542085554256 542085554757       -55143    -0.101724        32098     0.059212
     543     543085612614     543085754133 543085667870 543085668161       -55256    -0.101745        85972     0.158303
     544     544085729341     544085837378 544085784699 544085785180       -55358    -0.101745        52198     0.095937
     545     545085865254     545085896859 545085920714 545085920964       -55460    -0.101745       -24105    -0.044222
     546     546085996739     546085979922 546086052290 546086052651       -55551    -0.101726       -72729    -0.133182
     547     547086128244     547086137688 547086183907 547086184057       -55663    -0.101744       -46369    -0.084756
     548     548086218371     548086268413 548086274126 548086274858       -55755    -0.101727        -6445    -0.011759
     549     549086344536     549086583585 549086400403 549086401465       -55867    -0.101745       182120     0.331678
     550     550086484045     550086449558 550086540015 550086540476       -55970    -0.101748       -90918    -0.165279
     551     551086614408     551086652282 551086670480 551086670620       -56072    -0.101748       -18338    -0.033276
     552     552086726216     552086819930 552086782379 552086783131       -56163    -0.101729        36799     0.066654
     553     553086834918     553086813557 553086891193 553086891474       -56275    -0.101747       -77917    -0.140877
     554     554086929123     554086986648 554086985501 554086985892       -56378    -0.101749          756     0.001364
     555     555087051991     555087130990 555087108472 555087108622       -56481    -0.101752        22368     0.040296
     556     556087143061     556087222783 556087199633 556087200224       -56572    -0.101732        22559     0.040567
     557     557087277541     557087295179 557087334214 557087334364       -56673    -0.101731       -39185    -0.070339
     558     558088002772     558088082223 558088059548 558088059839       -56776    -0.101733        22384     0.040108
     559     559088142422     559088213229 559088199310 559088199500       -56888    -0.101751        13729     0.024556
     560     560088249221     560088250676 560088306201 560088306351       -56980    -0.101734       -55675    -0.099404
     561     561088346351     561088423129 561088403433 561088403884       -57082    -0.101734        19245     0.034299
     562     562088457298     562088559784 562088514492 562088514882       -57194    -0.101753        44902     0.079884
     563     563088576259     563088586154 563088633556 563088633837       -57297    -0.101755       -47683    -0.084681
     564     564088672598     564088681185 564088729998 564088730138       -57400    -0.101757       -48953    -0.086782
     565     565088765080     565088928921 565088822572 565088822832       -57492    -0.101740       106089     0.187739
     566     566088880885     566088925172 566088938479 566088938840       -57594    -0.101740       -13668    -0.024145
     567     567089597811     567089591675 567089655517 567089655718       -57706    -0.101758       -64043    -0.112933
     568     568089692607     568089738902 568089750406 568089750857       -57799    -0.101743       -11955    -0.021044
     569     569089799907     569089817133 569089857818 569089857938       -57911    -0.101761       -40805    -0.071702
     570     570089888562     570090023540 570089946576 570089946947       -58014    -0.101763        76593     0.134352
     571     571089998045     571090017371 571090056152 571090056292       -58107    -0.101748       -38921    -0.068152
     572     572090097821     572090169024 572090156041 572090156371       -58220    -0.101767        12653     0.022117
     573     573090240045     573090306412 573090298368 573090298498       -58323    -0.101769         7914     0.013809
     574     574090357824     574090376166 574090416240 574090416390       -58416    -0.101754       -40224    -0.070066
     575     575090441810     575090476032 575090500337 575090500468       -58527    -0.101770       -24436    -0.042491
     576     576090546735     576090592790 576090605364 576090605674       -58629    -0.101770       -12884    -0.022365
     577     577090642153     577090695465 577090700873 577090701043       -58720    -0.101752        -5578    -0.009666
     578     578090751546     578090955526 578090810379 578090810539       -58833    -0.101771       144987     0.250803
     579     579090860429     579090857167 579090919364 579090919505       -58935    -0.101772       -62338    -0.107648
     580     580090969962     580091042148 580091028992 580091029403       -59030    -0.101760        12745     0.021971
     581     581091114812     581091241951 581091173944 581091174415       -59132    -0.101760        67536     0.116223
     582     582091229285     582091221823 582091288529 582091288659       -59244    -0.101778       -66836    -0.114820
     583     583091313752     583091325999 583091373089 583091373239       -59337    -0.101763       -47240    -0.081016
     584     584091418767     584091477421 584091478216 584091478387       -59449    -0.101780         -966    -0.001654
     585     585091541756     585091656516 585091601307 585091601728       -59551    -0.101781        54788     0.093640
     586     586091674983     586091680193 586091734627 586091734758       -59644    -0.101766       -54565    -0.093100
     587     587091781071     587091877816 587091840827 587091841348       -59756    -0.101783        36468     0.062116
     588     588091911403     588091933672 588091971253 588091971503       -59850    -0.101770       -37831    -0.064328
     589     589092012691     589092040515 589092072653 589092072784       -59962    -0.101787       -32269    -0.054778
     590     590092111345     590092280006 590092171398 590092171819       -60053    -0.101769       108187     0.183339
     591     591092265902     591092270891 591092326068 591092326208       -60166    -0.101788       -55317    -0.093584
     592     592092362632     592092457327 592092422890 592092423100       -60258    -0.101771        34227     0.057807
     593     593092469160     593092557628 593092529520 593092529910       -60360    -0.101772        27718     0.046735
     594     594092593311     594092595833 594092653772 594092653913       -60461    -0.101770       -58080    -0.097763
     595     595092706351     595092973445 595092766925 595092767315       -60574    -0.101789       206130     0.346383
     596     596092846622     596092788468 596092907297 596092907448       -60675    -0.101788      -118980    -0.199600
     597     597092936079     597092976725 597092996845 597092997436       -60766    -0.101770       -20711    -0.034686
     598     598093041024     598093105950 598093101892 598093102153       -60868    -0.101770         3797     0.006349
     599     599093130320     599093177584 599093191301 599093191441       -60981    -0.101789       -13857    -0.023130
     600     600093211781     600093205326 600093272864 600093272985       -61083    -0.101789       -67659    -0.112747
     601     601093318960     601093415201 601093380146 601093380456       -61186    -0.101791        34745     0.057803
     602     602093446377     602093434842 602093507665 602093508566       -61288    -0.101791       -73724    -0.122446
     603     603093597579     603093728368 603093658958 603093659188       -61379    -0.101774        69180     0.114709
     604     604093664052     604093908662 604093725534 604093725934       -61482    -0.101776       182728     0.302483
     605     605093820924     605093798343 605093882519 605093882709       -61595    -0.101794       -84366    -0.139426
     606     606093942750     606093924601 606094004447 606094004628       -61697    -0.101794       -80027    -0.132037
     607     607094047265     607094058378 607094109064 607094109205       -61799    -0.101795       -50827    -0.083722
     608     608094130099     608094154372 608094192001 608094192131       -61902    -0.101797       -37759    -0.062094
     609     609094214866     609094316621 609094276860 609094277241       -61994    -0.101781        39380     0.064653
     610     610094308230     610094390267 610094370337 610094370848       -62107    -0.101799        19419     0.031830
     611     611094405981     611094456454 611094468191 611094468662       -62210    -0.101801       -12208    -0.019977
     612     612094509544     612094603302 612094571855 612094572106       -62311    -0.101800        31196     0.050966
     613     613094665194     613094735562 613094727527 613094728679       -62333    -0.101669         6883     0.011227
     614     614094753367     614094764764 614094815884 614094816024       -62517    -0.101803       -51260    -0.083472
     615     615094855618     615094901747 615094918236 615094918386       -62618    -0.101802       -16639    -0.027051
     616     616094978346     616095136713 616095041056 616095042229       -62710    -0.101786        94484     0.153359
     617     617095134947     617095148163 617095197599 617095197960       -62652    -0.101527       -49797    -0.080696
     618     618095242086     618095326411 618095305011 618095305352       -62925    -0.101805        21059     0.034071
     619     619095362250     619095470113 619095425277 619095425557       -63027    -0.101805        44556     0.071970
     620     620095456415     620095448689 620095519532 620095519653       -63117    -0.101786       -70964    -0.114440
     621     621095560248     621095585674 621095623468 621095623619       -63220    -0.101788       -37945    -0.061094
     622     622095651327     622095684102 622095714659 622095714790       -63332    -0.101804       -30688    -0.049330
     623     623095740673     623095798090 623095804108 623095804288       -63435    -0.101806        -6198    -0.009947
     624     624095841110     624095898574 624095904636 624095904787       -63526    -0.101789        -6213    -0.009955
     625     625095931999     625095987229 625095995627 625095995798       -63628    -0.101789        -8569    -0.013708
     626     626096020483     626096130968 626096084214 626096084384       -63731    -0.101791        46584     0.074404
     627     627096159762     627096304739 627096223595 627096224617       -63833    -0.101791        80122     0.127767
     628     628096329318     628096437679 628096393263 628096393934       -63945    -0.101808        43745     0.069647
     629     629096472334     629096546023 629096536371 629096536691       -64037    -0.101792         9332     0.014834
     630     630096586436     630096586948 630096650585 630096650835       -64149    -0.101808       -63887    -0.101392
     631     631096932150     631096937805 631096996391 631096996531       -64241    -0.101793       -58726    -0.093054
     632     632097026656     632097070251 632097091008 632097091169       -64352    -0.101807       -20918    -0.033093
     633     633097140808     633097295241 633097205253 633097205503       -64445    -0.101793        89738     0.141744
     634     634097275158     634097377482 634097339706 634097340207       -64548    -0.101795        37275     0.058784
     635     635097388849     635097386273 635097453509 635097453640       -64660    -0.101811       -67367    -0.106073
     636     636097479738     636097518870 636097544501 636097544641       -64763    -0.101813       -25771    -0.040514
     637     637097581558     637097611126 637097646412 637097646703       -64854    -0.101796       -35577    -0.055842
     638     638097688246     638097902813 638097753214 638097753354       -64968    -0.101815       149459     0.234226
     639     639097828577     639098002888 639097893648 639097894049       -65071    -0.101817       108839     0.170301
     640     640097976943     640097949578 640098042116 640098042247       -65173    -0.101817       -92669    -0.144773
     641     641098059416     641098040786 641098124692 641098124912       -65276    -0.101819       -84126    -0.131222
     642     642098166676     642098199037 642098232044 642098232354       -65368    -0.101804       -33317    -0.051888
     643     643098272022     643098376498 643098337494 643098337674       -65472    -0.101807        38824     0.060370
     644     644098378810     644098394236 644098444384 644098444534       -65574    -0.101807       -50298    -0.078091
     645     645098474628     645098609793 645098540314 645098541016       -65686    -0.101823        68777     0.106615
     646     646098602436     646098620850 646098668224 646098668354       -65788    -0.101823       -47504    -0.073524
     647     647098691241     647098708038 647098757120 647098757251       -65879    -0.101807       -49213    -0.076052
     648     648098773464     648098814623 648098839455 648098839606       -65991    -0.101822       -24983    -0.038548
     649     649098875443     649098923777 649098941526 649098941656       -66083    -0.101807       -17879    -0.027544
     650     650098960592     650099039268 650099026777 650099026917       -66185    -0.101808        12351     0.018999
     651     651099051390     651099102349 651099117688 651099117818       -66298    -0.101825       -15469    -0.023758
     652     652099154622     652099219476 652099221012 652099221162       -66390    -0.101810        -1686    -0.002585
     653     653099266581     653099324390 653099333081 653099333422       -66500    -0.101822        -9032    -0.013829
     654     654099412973     654099474313 654099479556 654099479676       -66583    -0.101793        -5363    -0.008199
     655     655099511967     655099650680 655099578662 655099579043       -66695    -0.101809        71637     0.109353
     656     656099629896     656099756155 656099696694 656099697024       -66798    -0.101811        59131     0.090125
