Long-term drift test started. Press Ctrl+C to stop.
TSC available: true

     sec       static(ns)       online(ns)   st_std(ns)   on_std(ns)     st_drift       st_ppm     on_drift       on_ppm
      75      75010798150      75010803668  75010805710  75010805821        -7560    -0.100785        -2153    -0.028703
      76      76010879421      76010885844  76010887072  76010887202        -7651    -0.100657        -1358    -0.017866
      77      77011040491      77011050242  77011048234  77011048645        -7743    -0.100544         1597     0.020737
      78      78011154834      78011162180  78011162699  78011163020        -7865    -0.100819         -840    -0.010768
      79      79011508432      79011517525  79011516387  79011516597        -7955    -0.100682          928     0.011745
      80      80011622875      80011630339  80011630939  80011631110        -8064    -0.100785         -771    -0.009636
      81      81011808410      81011814908  81011816575  81011816696        -8165    -0.100788        -1788    -0.022071
      82      82011913215      82011920531  82011921472  82011921603        -8257    -0.100680        -1072    -0.013071
      83      83012020555      83012029763  83012028926  83012029066        -8371    -0.100841          697     0.008396
      84      84012135038      84012166158  84012143470  84012143881        -8432    -0.100366        22277     0.265164
      85      85012302790      85012302724  85012311355  85012311505        -8565    -0.100750        -8781    -0.103291
      86      86012408697      86012420544  86012417362  86012417502        -8665    -0.100741         3042     0.035367
      87      87012497031      87012499476  87012505794  87012505974        -8763    -0.100710        -6498    -0.074679
      88      88012588170      88012592809  88012597044  88012597195        -8874    -0.100826        -4386    -0.049834
      89      89012693085      89012698915  89012702055  89012702186        -8970    -0.100772        -3271    -0.036748
      90      90012806907      90012829159  90012815977  90012816308        -9070    -0.100763        12851     0.142769
      91      91012943060      91012946196  91012952231  91012952372        -9171    -0.100766        -6176    -0.067858
      92      92013307269      92013311461  92013316551  92013316682        -9282    -0.100877        -5221    -0.056742
      93      93013400853      93013407534  93013410227  93013410358        -9374    -0.100781        -2824    -0.030361
      94      94013503904      94013511722  94013513380  94013513510        -9476    -0.100794        -1788    -0.019019
      95      95013595635      95013616144  95013605212  95013605623        -9577    -0.100796        10521     0.110732
      96      96013709737      96013723101  96013719416  96013719697        -9679    -0.100809         3404     0.035453
      97      97013821385      97013842006  97013831166  97013831497        -9781    -0.100821        10509     0.108325
      98      98013945025      98013950915  98013954557  98013955328        -9532    -0.097251        -4413    -0.045024
      99      99014088922      99014090488  99014098907  99014099047        -9985    -0.100844        -8559    -0.086442
     100     100014209777     100014216141 100014219866 100014220126       -10089    -0.100876        -3985    -0.039844
     101     101014330291     101014340425 101014340479 101014340960       -10188    -0.100857         -535    -0.005296
     102     102014439795     102014447499 102014450095 102014450265       -10300    -0.100966        -2766    -0.027114
     103     103014528730     103014536951 103014539133 103014539394       -10403    -0.100986        -2443    -0.023715
     104     104014615010     104014623646 104014625513 104014625654       -10503    -0.100976        -2008    -0.019305
     105     105014760030     105014769000 105014770534 105014770654       -10504    -0.100024        -1654    -0.015750
     106     106014868592     106014879166 106014879267 106014879397       -10675    -0.100693         -231    -0.002179
     107     107014974469     107014985320 107014985277 107014985417       -10808    -0.100995          -97    -0.000906
     108     108015061240     108015072769 108015072152 108015072293       -10912    -0.101023          476     0.004407
     109     109015163109     109015175375 109015174123 109015174274       -11014    -0.101032         1101     0.010100
     110     110015270359     110015280929 110015281463 110015281613       -11104    -0.100931         -684    -0.006217
     111     111015754070     111015774488 111015765281 111015765511       -11211    -0.100986         8977     0.080862
     112     112015911002     112015928269 112015922309 112015922579       -11307    -0.100941         5690     0.050796
     113     113016409962     113016413770 113016421379 113016421509       -11417    -0.101021        -7739    -0.068477
     114     114016514737     114016525257 114016526246 114016526386       -11509    -0.100942        -1129    -0.009902
     115     115016700112     115016707817 115016711728 115016711859       -11616    -0.100994        -4042    -0.035143
     116     116016804225     116016818857 116016815929 116016816089       -11704    -0.100882         2768     0.023859
     117     117017120615     117017128298 117017132430 117017132561       -11815    -0.100968        -4263    -0.036431
     118     118017231911     118017297246 118017243829 118017244520       -11918    -0.100985        52726     0.446765
     119     119017420573     119017445395 119017432580 119017432941       -12007    -0.100884        12454     0.104640
     120     120017540325     120017534091 120017552446 120017552907       -12121    -0.100994       -18816    -0.156777
     121     121017666891     121017662465 121017679103 121017679263       -12212    -0.100911       -16798    -0.138806
     122     122017758862     122017797299 122017771186 122017771467       -12324    -0.101002        25832     0.211707
     123     123017872062     123017862674 123017884479 123017884669       -12417    -0.100937       -21995    -0.178795
     124     124017967470     124017964764 124017979989 124017980130       -12519    -0.100945       -15366    -0.123901
     125     125018068297     125018070760 125018080930 125018081060       -12633    -0.101049       -10300    -0.082388
     126     126018189262     126018240953 126018201977 126018203039       -12715    -0.100898        37914     0.300861
     127     127018342677     127018365219 127018355514 127018356055       -12837    -0.101064         9164     0.072147
     128     128018452311     128018442268 128018465250 128018465410       -12939    -0.101071       -23142    -0.180771
     129     129018543781     129018554125 129018556813 129018557043       -13032    -0.101009        -2918    -0.022617
     130     130018640661     130018662238 130018653795 130018654276       -13134    -0.101016         7962     0.061237
     131     131018759953     131018766439 131018773198 131018773970       -13245    -0.101092        -7531    -0.057480
     132     132018853096     132018852619 132018866444 132018866584       -13348    -0.101107       -13965    -0.105780
     133     133018936181     133018940244 133018949621 133018949791       -13440    -0.101038        -9547    -0.071772
     134     134019038000     134019048070 134019051543 134019051694       -13543    -0.101053        -3624    -0.027041
     135     135019145480     135019156557 135019159125 135019159306       -13645    -0.101060        -2749    -0.020360
     136     136019260203     136019290708 136019273950 136019274161       -13747    -0.101067        16547     0.121652
     137     137019386618     137019390750 137019400467 137019400618       -13849    -0.101073        -9868    -0.072019
     138     138019471045     138019481777 138019484995 138019485146       -13950    -0.101073        -3369    -0.024410
     139     139019580238     139019589293 139019594300 139019594631       -14062    -0.101151        -5338    -0.038397
     140     140019665937     140019676931 140019680101 140019680232       -14164    -0.101157        -3301    -0.023575
     141     141019751877     141019776541 141019766133 141019766323       -14256    -0.101092        10218     0.072458
     142     142019863915     142019907094 142019878283 142019878453       -14368    -0.101169        28641     0.201669
     143     143020189442     143020185966 143020203900 143020204030       -14458    -0.101091       -18064    -0.126304
     144     144020287173     144020301755 144020301734 144020302015       -14561    -0.101104         -260    -0.001805
     145     145020404371     145020409249 145020419043 145020419173       -14672    -0.101172        -9924    -0.068432
     146     146020496352     146020522107 146020511127 146020511437       -14775    -0.101184        10670     0.073072
     147     147020625463     147020646252 147020640329 147020640890       -14866    -0.101115         5362     0.036471
     148     148020738312     148020749801 148020753290 148020753531       -14978    -0.101189        -3730    -0.025199
     149     149020855340     149020887987 149020870411 149020870802       -15071    -0.101133        17185     0.115319
     150     150021452192     150021463270 150021467375 150021467605       -15183    -0.101206        -4335    -0.028896
     151     151021594317     151021616776 151021609602 151021609853       -15285    -0.101211         6923     0.045841
     152     152021716083     152021713795 152021731461 152021731721       -15378    -0.101157       -17926    -0.117917
     153     153021806371     153021810807 153021821852 153021822223       -15481    -0.101169       -11416    -0.074604
     154     154021908310     154021917124 154021923895 154021924035       -15585    -0.101187        -6911    -0.044870
     155     155022011412     155022024275 155022027098 155022027249       -15686    -0.101186        -2974    -0.019184
     156     156022114023     156022126975 156022129822 156022130002       -15799    -0.101261        -3027    -0.019401
     157     157022214800     157022229103 157022230691 157022230912       -15891    -0.101202        -1809    -0.011521
     158     158022304126     158022319719 158022320128 158022320268       -16002    -0.101264         -549    -0.003474
     159     159022393893     159022409162 159022409997 159022410167       -16104    -0.101269        -1005    -0.006320
     160     160022503397     160022524763 160022519591 160022519732       -16194    -0.101198         5031     0.031439
     161     161022589637     161022605974 161022605944 161022606074       -16307    -0.101271         -100    -0.000621
     162     162022702256     162022735997 162022718654 162022718875       -16398    -0.101208        17122     0.105677
     163     163022820556     163022827093 163022837056 163022837226       -16500    -0.101213       -10133    -0.062157
     164     164022920963     164022930906 164022937565 164022937696       -16602    -0.101218        -6790    -0.041397
     165     165023025838     165023041856 165023042552 165023043344       -16714    -0.101283        -1488    -0.009017
     166     166023160889     166023184998 166023177706 166023178017       -16817    -0.101293         6981     0.042048
     167     167023270293     167023281020 167023287201 167023287341       -16908    -0.101231        -6321    -0.037845
     168     168023386328     168023386532 168023403350 168023403540       -17022    -0.101307       -17008    -0.101224
     169     169023575971     169023612102 169023592874 169023593175       -16903    -0.100004        18927     0.111978
     170     170024459588     170024495264 170024476793 170024477024       -17205    -0.101191        18240     0.107279
     171     171024618213     171024623593 171024635437 171024635558       -17224    -0.100711       -11965    -0.069961
     172     172024905168     172024932595 172024922584 172024922905       -17416    -0.101241         9690     0.056329
     173     173025352511     173025376481 173025370044 173025370275       -17533    -0.101332         6206     0.035868
     174     174025694558     174025715968 174025712180 174025712460       -17622    -0.101261         3508     0.020158
     175     175025842233     175025859843 175025859957 175025860428       -17724    -0.101265         -585    -0.003342
     176     176026040783     176026061806 176026058606 176026058817       -17823    -0.101252         2989     0.016980
     177     177026429356     177026451585 177026447271 177026447752       -17915    -0.101200         3833     0.021652
     178     178026577392     178026609346 178026595420 178026595670       -18028    -0.101266        13676     0.076820
     179     179027120935     179027132944 179027139066 179027139297       -18131    -0.101275        -6353    -0.035486
     180     180027603073     180027618081 180027621312 180027621543       -18239    -0.101312        -3462    -0.019230
     181     181027734377     181027733537 181027752728 181027752858       -18351    -0.101371       -19321    -0.106729
     182     182027838290     182027846661 182027856735 182027856875       -18445    -0.101331       -10214    -0.056112
     183     183028231934     183028242066 183028250488 183028250618       -18554    -0.101372        -8552    -0.046725
     184     184028353410     184028367691 184028371966 184028372087       -18556    -0.100832        -4396    -0.023888
     185     185028459868     185028476086 185028478617 185028478758       -18749    -0.101330        -2672    -0.014441
     186     186028564943     186028600910 186028583806 186028584076       -18863    -0.101398        16834     0.090491
     187     187028739498     187028770999 187028758292 187028758602       -18794    -0.100487        12397     0.066284
     188     188029070995     188029075973 188029089959 188029090079       -18964    -0.100857       -14106    -0.075020
     189     189029833486     189029876025 189029852653 189029853184       -19167    -0.101397        22841     0.120833
     190     190030196653     190030223435 190030215924 190030216154       -19271    -0.101410         7281     0.038315
     191     191030618699     191030618474 191030638070 191030638201       -19371    -0.101403       -19727    -0.103266
     192     192030709888     192030722748 192030729362 192030729502       -19474    -0.101411        -6754    -0.035171
     193     193030821837     193030831883 193030841350 193030841480       -19513    -0.101087        -9597    -0.049717
     194     194031353647     194031367835 194031373326 194031373456       -19679    -0.101422        -5621    -0.028970
     195     195031798005     195031815271 195031817786 195031817916       -19781    -0.101424        -2645    -0.013562
     196     196031887942     196031907962 196031907815 196031907976       -19873    -0.101376          -14    -0.000071
     197     197032007495     197032025105 197032027478 197032027608       -19983    -0.101420        -2503    -0.012704
     198     198032107360     198032166605 198032127449 198032127961       -20089    -0.101443        38644     0.195140
     199     199032232333     199032254942 199032252294 199032252604       -19961    -0.100290         2338     0.011747
     200     200032359179     200032378162 200032379463 200032379803       -20284    -0.101404        -1641    -0.008204
     201     201032506032     201032509590 201032526338 201032526458       -20306    -0.101009       -16868    -0.083907
     202     202032600858     202032612728 202032621355 202032621515       -20497    -0.101454        -8787    -0.043493
     203     203032761958     203032775755 203032782557 203032782687       -20599    -0.101457        -6932    -0.034142
     204     204032876792     204032923109 204032897482 204032897682       -20690    -0.101405        25427     0.124622
     205     205032996404     205033003676 205033017195 205033017326       -20791    -0.101403       -13650    -0.066575
     206     206033163806     206033175735 206033184709 206033184839       -20903    -0.101455        -9104    -0.044187
     207     207033275694     207033292769 207033296697 207033296838       -21003    -0.101447        -4069    -0.019654
     208     208033378966     208033400194 208033400061 208033400211       -21095    -0.101402          -17    -0.000082
     209     209033461279     209033480143 209033482485 209033482636       -21206    -0.101448        -2493    -0.011926
     210     210033573577     210033632530 210033594886 210033595107       -21309    -0.101455        37423     0.178176
     211     211033669025     211033674185 211033690435 211033690575       -21410    -0.101453       -16390    -0.077665
     212     212033774842     212033787276 212033796343 212033796483       -21501    -0.101404        -9207    -0.043422
     213     213034487850     213034542631 213034509462 213034509733       -21612    -0.101448        32898     0.154426
     214     214034611540     214034640232 214034633256 214034633516       -21716    -0.101460         6716     0.031378
     215     215035156025     215035156779 215035177833 215035177974       -21808    -0.101416       -21195    -0.098565
     216     216035288612     216035295220 216035310523 216035310653       -21911    -0.101423       -15433    -0.071437
     217     217035392405     217035412088 217035414428 217035414599       -22023    -0.101472        -2511    -0.011570
     218     218035505014     218035520686 218035527130 218035527370       -22116    -0.101433        -6684    -0.030656
     219     219035607945     219035624391 219035630172 219035630302       -22227    -0.101477        -5911    -0.026986
     220     220035706699     220035725603 220035729028 220035729148       -22329    -0.101479        -3545    -0.016111
     221     221035807466     221035829587 221035829887 221035830037       -22421    -0.101436         -450    -0.002036
     222     222035983223     222036024109 222036005604 222036006105       -22381    -0.100799        18004     0.081086
     223     223036133693     223036147155 223036156316 223036156446       -22623    -0.101432        -9291    -0.041657
     224     224036195678     224036229229 224036218404 224036218935       -22726    -0.101439        10294     0.045948
     225     225036629497     225036664308 225036652335 225036652556       -22838    -0.101486        11752     0.052223
     226     226036803460     226036812929 226036826379 226036826499       -22919    -0.101395       -13570    -0.060034
     227     227036923353     227036958771 227036946232 227036946523       -22879    -0.100772        12248     0.053947
     228     228037041162     228037061436 228037064307 228037064428       -23145    -0.101497        -2992    -0.013121
     229     229037200228     229037227993 229037223254 229037223545       -23026    -0.100534         4448     0.019420
     230     230037402795     230037428009 230037426133 230037426273       -23338    -0.101453         1736     0.007547
     231     231037510746     231037520718 231037534185 231037534336       -23439    -0.101451       -13618    -0.058943
     232     232037618446     232037634035 232037641989 232037642159       -23543    -0.101462        -8124    -0.035012
     233     233037709766     233037804716 233037733423 233037734184       -23657    -0.101516        70532     0.302663
     234     234037853684     234037844913 234037877432 234037877622       -23748    -0.101471       -32709    -0.139759
     235     235037958729     235037960922 235037982578 235037982719       -23849    -0.101469       -21797    -0.092738
     236     236038042405     236038061714 236038066356 236038066637       -23951    -0.101471        -4923    -0.020857
     237     237038173619     237038209836 237038197672 237038197923       -24053    -0.101473        11913     0.050258
     238     238038325842     238038335990 238038350009 238038350130       -24167    -0.101526       -14140    -0.059402
     239     239038493394     239038507267 239038517643 239038517763       -24249    -0.101444       -10496    -0.043909
     240     240038603378     240038624206 240038627738 240038627889       -24360    -0.101484        -3683    -0.015343
     241     241038708484     241038748086 241038732946 241038733097       -24462    -0.101486        14989     0.062185
     242     242038792059     242038806053 242038816626 242038816756       -24567    -0.101500       -10703    -0.044220
     243     243038880654     243038920406 243038905334 243038905665       -24680    -0.101548        14741     0.060653
     244     244038993093     244039026794 244039017874 244039018004       -24781    -0.101545         8790     0.036019
     245     245039093610     245039103643 245039118492 245039118623       -24882    -0.101543       -14980    -0.061133
     246     246039185841     246039222214 246039210815 246039210945       -24974    -0.101504        11269     0.045802
     247     247039271180     247039288589 247039296255 247039296415       -25075    -0.101502        -7826    -0.031679
     248     248039380683     248039399477 248039405863 248039405993       -25180    -0.101516        -6516    -0.026270
